Date,Open,High,Low,Close,Adj Close,Volume
6/29/2010,1.266667,1.666667,1.169333,1.592667,1.592667,281494500
6/30/2010,1.719333,2.028,1.553333,1.588667,1.588667,257806500
7/1/2010,1.666667,1.728,1.351333,1.464,1.464,123282000
7/2/2010,1.533333,1.54,1.247333,1.28,1.28,77097000
7/6/2010,1.333333,1.333333,1.055333,1.074,1.074,103003500
7/7/2010,1.093333,1.108667,0.998667,1.053333,1.053333,103825500
7/8/2010,1.076,1.168,1.038,1.164,1.164,115671000
7/9/2010,1.172,1.193333,1.103333,1.16,1.16,60759000
7/12/2010,1.196667,1.204667,1.133333,1.136667,1.136667,33037500
7/13/2010,1.159333,1.242667,1.126667,1.209333,1.209333,40201500
7/14/2010,1.196,1.343333,1.184,1.322667,1.322667,62928000
7/15/2010,1.329333,1.433333,1.266667,1.326,1.326,56097000
7/16/2010,1.38,1.42,1.336667,1.376,1.376,39319500
7/19/2010,1.424667,1.483333,1.394667,1.460667,1.460667,37297500
7/20/2010,1.456667,1.456667,1.336667,1.353333,1.353333,27379500
7/21/2010,1.377333,1.393333,1.3,1.348,1.348,18787500
7/22/2010,1.366667,1.416667,1.358,1.4,1.4,14367000
7/23/2010,1.412667,1.437333,1.404,1.419333,1.419333,9804000
7/26/2010,1.433333,1.433333,1.353333,1.396667,1.396667,13833000
7/27/2010,1.394,1.412,1.350667,1.37,1.37,9295500
7/28/2010,1.37,1.393333,1.367333,1.381333,1.381333,7008000
7/29/2010,1.384667,1.392,1.333333,1.356667,1.356667,9240000
7/30/2010,1.346667,1.362667,1.303333,1.329333,1.329333,6403500
8/2/2010,1.366667,1.398,1.355333,1.394667,1.394667,10771500
8/3/2010,1.4,1.463333,1.388,1.463333,1.463333,18457500
8/4/2010,1.463333,1.478667,1.39,1.417333,1.417333,13695000
8/5/2010,1.436,1.436667,1.336667,1.363333,1.363333,11943000
8/6/2010,1.34,1.344,1.301333,1.306,1.306,11128500
8/9/2010,1.326667,1.332,1.296667,1.306667,1.306667,12190500
8/10/2010,1.31,1.31,1.254667,1.268667,1.268667,19219500
8/11/2010,1.246,1.258667,1.19,1.193333,1.193333,11964000
